open,close
130.34,132.045
131.86,131.78
131.23,130.28
131.2,130.535
129.86,129.96
130.66,130.12
129.58,129.36
129.5,128.65
128.9,127.8
126.7,127.42
127.92,128.88
129.18,128.59
128.185,127.17
126.1,126.92
127.03,127.6
127.72,127.3
127.23,127.88
127.71,126.6
127.49,127.61
127.48,127.03
127.21,128.11
128.86,127.5
127.67,126.75
125.46,124.53
125.57,125.425
126.9,126.6
126.43,126.44
124.94,126.0
125.89,125.69
124.48,122.57
123.85,120.07
121.94,123.28
125.03,125.66
126.04,125.61
125.72,126.82
127.74,128.51
129.08,129.62
130.97,132.07
132.85,130.75
121.99,125.22
126.2,125.16
125.32,124.5
123.09,122.77
123.38,123.38
123.15,122.99
122.32,122.37
122.6,121.3
121.5,118.44
117.42,114.64
112.95,115.4
115.97,115.13
114.58,115.52
116.53,119.72
117.81,113.49
112.53,115.24
116.04,115.15
114.32,115.96
116.04,117.16
116.43,116.5
116.1,115.01
114.08,112.65
110.43,105.76
94.87,103.12
111.11,103.74
107.085,109.69
112.25,112.92
112.17,113.29
112.13,112.76
110.18,107.72
110.0,112.34
112.49,110.37
108.97,109.27
111.65,112.31
113.76,110.15
110.27,112.57
111.79,114.21
116.58,115.31
115.93,116.28
116.25,116.41
115.66,113.92
112.21,113.45
113.67,115.21
113.38,113.4
113.63,114.32
113.25,115.0
116.44,114.71
113.85,112.44
112.83,109.06
110.17,110.3
109.07,109.58
108.01,110.38
109.88,110.78
110.63,111.31
111.74,110.78
110.19,109.5
110.0,112.12
112.73,111.6
110.82,111.79
111.29,110.21
110.93,111.86
111.78,111.04
110.8,111.73
111.34,113.77
114.0,113.76
114.33,115.5
116.7,119.08
118.08,115.28
115.4,114.55
116.93,119.27
118.7,120.53
120.99,119.5
119.87,121.18
120.79,122.57
123.13,122.0
121.85,120.92
121.11,121.06
120.96,120.57
116.9,116.77
116.37,116.11
116.26,115.72
115.2,112.34
111.38,114.175
114.92,113.69
115.76,117.29
117.64,118.78
119.2,119.3
119.27,117.75
117.33,118.88
119.21,118.03
118.29,117.81
117.99,118.3
118.75,117.34
117.05,116.28
116.55,115.2
115.29,119.03
118.98,118.28
117.52,118.23
117.64,115.62
116.04,116.17
115.19,113.18
112.18,112.48
111.94,110.49
111.07,111.34
112.02,108.98
108.91,106.03
107.28,107.33
107.4,107.23
107.27,108.61
109.0,108.03
107.59,106.82
106.96,108.74
108.58,107.32
107.01,105.26
102.61,105.35
105.75,102.71
100.56,100.7
98.68,96.45
98.55,96.96
98.97,98.53
100.55,99.96
100.32,97.39
97.96,99.52
96.2,97.13
98.41,96.66
95.1,96.79
97.06,96.3
98.63,101.42
101.52,99.44
99.93,99.99
96.04,93.42
93.79,94.09
94.79,97.34
96.47,96.43
95.42,94.48
95.0,96.35
95.86,96.6
96.52,94.02
93.13,95.01
94.29,94.99
95.92,94.27
93.79,93.7
94.19,93.99
95.02,96.64
96.67,98.12
98.84,96.26
96.0,96.04
96.31,96.88
96.4,94.69
93.98,96.1
96.05,96.76
97.2,96.91
96.86,96.69
97.65,100.53
100.51,100.75
100.58,101.5
102.37,103.01
102.39,101.87
100.78,101.03
101.31,101.12
101.41,101.17
102.24,102.26
101.91,102.52
103.96,104.58
104.61,105.97
105.52,105.8
106.34,105.92
105.93,105.91
105.25,106.72
106.48,106.13
105.47,105.67
106.0,105.19
104.89,107.68
108.65,109.56
109.72,108.99
108.78,109.99
110.42,111.12
109.51,109.81
110.23,110.96
109.95,108.54
108.91,108.66
108.97,109.02
109.34,110.44
110.8,112.04
111.62,112.1
112.11,109.85
108.89,107.48
107.88,106.91
106.64,107.13
106.93,105.97
105.01,105.68
105.0,105.08
103.91,104.35
96.0,97.82
97.61,94.83
93.99,93.74
93.965,93.64
94.2,95.18
95.2,94.19
94.0,93.24
93.37,92.72
93.0,92.79
93.33,93.42
93.48,92.51
92.72,90.34
90.0,90.52
92.39,93.88
94.55,93.49
94.16,94.56
94.64,94.2
94.64,95.22
95.87,96.43
97.22,97.9
98.67,99.62
99.68,100.41
99.44,100.35
99.6,99.86
99.02,98.46
97.6,97.72
97.79,97.92
97.99,98.63
99.25,99.03
99.02,98.94
98.5,99.65
98.53,98.83
98.69,97.34
97.32,97.46
97.82,97.14
96.45,97.55
96.62,95.33
96.0,95.1
94.94,95.91
96.25,95.55
95.94,96.1
92.91,93.4
93.0,92.04
92.9,93.59
93.97,94.4
94.44,95.6
95.49,95.89
95.39,94.99
94.6,95.53
95.7,95.94
96.49,96.68
96.75,96.98
97.17,97.42
97.41,96.87
97.39,98.79
98.92,98.78
98.7,99.83
99.56,99.87
100.0,99.96
99.83,99.43
99.26,98.66
98.25,97.34
96.82,96.67
104.265,102.95
102.83,104.34
104.19,104.21
104.41,106.05
106.05,104.48
104.81,105.79
105.58,105.87
106.27,107.48
107.52,108.37
108.23,108.81
108.71,108.0
108.52,107.93
107.78,108.18
108.14,109.48
109.63,109.38
109.1,109.22
109.23,109.08
108.77,109.36
108.86,108.51
108.59,108.85
108.565,108.03
107.39,107.57
107.41,106.94
106.62,106.82
105.8,106.0
105.66,106.1
106.14,106.73
107.7,107.73
107.9,107.7
107.83,108.36
107.25,105.52
104.64,103.13
102.65,105.44
107.51,107.95
108.73,111.77
113.86,115.57
115.12,114.92
115.19,113.58
113.05,113.57
113.85,113.55
114.35,114.62
114.42,112.71
111.64,112.88
113.0,113.09
113.69,113.95
113.16,112.18
112.46,113.05
112.71,112.52
113.06,113.0
113.4,113.05
113.7,113.89
114.31,114.06
115.02,116.05
117.7,116.3
117.35,117.34
116.79,116.98
117.88,117.63
117.33,117.55
118.18,117.47
117.25,117.12
116.86,117.06
116.81,116.6
117.1,117.65
117.95,118.25
114.31,115.59
115.39,114.48
113.87,113.72
113.65,113.54
113.46,111.49
111.4,111.59
110.98,109.83
108.53,108.84
110.08,110.41
110.31,111.06
109.88,110.88
111.09,107.79
107.12,108.43
107.71,105.71
106.57,107.11
106.7,109.99
109.81,109.95
109.72,110.06
110.12,111.73
111.95,111.8
111.36,111.23
111.13,111.79
111.43,111.57
110.78,111.46
111.6,110.52
110.365,109.49
109.17,109.9
110.0,109.11
109.5,109.95
109.26,111.03
110.86,112.12
112.31,113.95
113.29,113.3
113.84,115.19
115.04,115.19
115.38,115.82
116.47,115.97
115.8,116.64
116.74,116.95
116.8,117.06
116.35,116.29
115.59,116.52
116.52,117.26
117.52,116.76
116.45,116.73
116.65,115.82
115.8,116.15
115.85,116.02
115.92,116.61
116.78,117.91
117.95,118.99
118.77,119.11
118.74,119.75
118.895,119.25
119.11,119.04
118.34,120.0
120.0,119.99
119.4,119.78
120.45,120.0
120.0,120.08
119.55,119.97
120.42,121.88
121.67,121.94
122.14,121.95
120.93,121.63
121.15,121.35
127.03,128.75
127.975,128.53
128.31,129.08
129.13,130.29
130.54,131.53
131.35,132.04
131.65,132.42
132.46,132.12
133.08,133.29
133.47,135.02
135.52,135.51
135.67,135.345
135.1,135.72
136.23,136.7
136.43,137.11
137.38,136.53
135.91,136.66
137.14,136.93
137.08,136.99
137.89,139.79
140.0,138.96
138.78,139.78
139.365,139.34
139.06,139.52
138.95,139.0
138.74,138.68
139.25,139.14
138.85,139.2
139.3,138.99
139.41,140.46
140.72,140.69
141.0,139.99
140.4,141.46
142.11,139.84
139.845,141.42
141.26,140.92
141.5,140.64
139.39,140.88
140.91,143.8
143.68,144.12
144.19,143.93
143.72,143.66
143.71,143.7
143.25,144.77
144.22,144.02
144.29,143.66
143.73,143.34
143.6,143.17
142.94,141.63
141.6,141.8
141.91,141.05
141.48,141.83
141.41,141.2
141.88,140.68
141.22,142.44
142.44,142.27
143.5,143.64
143.91,144.53
144.47,143.68
143.9225,143.79
144.09,143.65
145.1,146.58
147.54,147.51
145.59,147.06
146.52,146.53
146.76,148.96
149.03,153.01
153.87,153.99
153.63,153.26
152.45,153.95
154.7,156.1
156.01,155.7
155.94,155.47
153.6,150.25
151.27,152.54
153.38,153.06
154.0,153.99
154.9,153.8
153.84,153.34
153.73,153.87
154.0,153.61
153.42,153.67
153.97,152.76
153.17,153.18
153.58,155.45
154.34,153.93
153.9,154.45
155.02,155.37
155.25,154.99
155.19,148.98
145.74,145.42
147.16,146.59
147.5,145.16
143.32,144.29
143.78,142.27
143.66,146.34
146.87,145.01
145.52,145.87
145.77,145.63
145.13,146.28
147.17,145.82
145.01,143.73
144.49,145.83
144.71,143.68
144.45,144.02
144.88,143.5
143.69,144.09
143.02,142.73
142.9,144.18
144.11,145.06
144.73,145.53
145.87,145.74
145.5,147.77
147.97,149.04
148.82,149.56
149.2,150.08
150.48,151.02
151.5,150.34
149.99,150.27
150.58,152.09
151.8,152.74
153.35,153.46
153.75,150.56
149.89,149.5
149.9,148.73
149.1,150.05
159.28,157.14
157.05,155.57
156.07,156.39
157.06,158.81
158.6,160.08
159.26,161.06
159.9,155.32
156.6,157.48
159.32,159.85
160.66,161.6
161.94,160.95
160.52,157.86
157.86,157.5
157.5,157.21
158.23,159.78
159.07,159.98
160.43,159.27
159.65,159.86
160.14,161.47
160.1,162.91
163.8,163.35
163.64,164.0
164.8,164.05
163.75,162.08
162.71,161.91
162.09,161.26
160.86,158.63
160.5,161.5
162.61,160.86
159.87,159.65
158.99,158.28
158.47,159.88
160.11,158.67
159.51,158.73
157.9,156.07
155.8,153.39
152.02,151.89
149.99,150.55
151.78,153.14
153.8,154.23
153.89,153.28
153.21,154.12
154.26,153.81
154.01,154.48
153.63,153.48
154.18,155.39
154.97,155.3
155.81,155.84
156.055,155.9
155.97,156.55
156.35,156.0
156.73,156.99
157.9,159.88
159.78,160.47
160.42,159.76
156.75,155.98
156.61,156.25
156.89,156.17
156.29,157.1
156.91,156.41
157.23,157.41
